Timestamp	The name you want me to use for you	If you were in a Ratatouille situation, who would you prefer to be?	What's your biggest fear?	How long does it take you to get ready in the morning?	Do you have, or have you ever had, a driver's license?	If you were a university professor, would you be a Red Bull professor or a Gatorade professor?	I have ranked the following OI members in order of (my perception of) their physical strength, increasing from top to bottom. Who's the strongest you think you could beat in a fight?  Tough luck if you haven't met them I guess, just choose based on vibes	Salt or pepper?	Have you ever shoplifted?	What's your favourite kind of ice?	Which kind of torture would be more effective on you?	What is your favourite of these colours?	Do you wear glasses or contacts?	How good are you at getting people to listen to you?	Would you rather eat one bug (that I choose) or twenty bugs (that we choose together)?	If you were one of these foods, which one would you be?	Stripper?	Given the choice, what do you prefer to do for your birthday?	Would you rather wear a hat or shoes?	If you were in a gang, what would your role be?	What's the worst place you would eat food from?	What's your favourite element?	Truth or dare?	Consider the following situation: you put on a sock in the morning and discover it is filled with Vaseline. Unbeknownst to you, someone has filled all of your socks with Vaseline. You are not able to look at the socks, you can only tell whether they are filled with Vaseline by trying them on your foot. How many socks would you try on before accepting that they are probably all filled with Vaseline?	In the previous situation with the socks, what would you do once you figured out all your socks were full of Vaseline?	How do you define your sexuality?	How do you define your gender?	How fast can you solve a Rubik's cube?	Be honest do you think you're better than me?	How long did you spend on the survey?
2/28/2023 11:34:58	dan	5	Me (Rose)	30-90 minutes	Yes	Gatorade	Dan	Salt	No	Iced coffee	Being forced to list nice things about yourself	Purple	Yes	3	Twenty bugs	A shrimp	I hardly know her	2	Shoes	The coward	University residence cafeteria	Hydrogen	Dare	More than 5 socks	I would wash a pair of socks, then wear them	Gay or bi	Other	Slow	No	3-10 minutes
2/28/2023 11:37:42	Walter	4	Public speaking	10-30 minutes	Yes	Gatorade	Zenghao	Salt	No	Iced coffee	Waterboarding	Purple	Yes	4	One bug	Grated cheese	I hardly know her	2	Shoes	Leader	University residence cafeteria	Hydrogen	Truth	3-5 socks	I would wash a pair of socks, then wear them	Other	Other	Slow	Yes	2-3 minutes
2/28/2023 11:39:28	Brian	4	Your own emotions	30-90 minutes	Yes	Gatorade	Dan	Pepper (I'm a snail and I'm scared of salt)	No	Ice cream	Waterboarding	Green	Yes	3	One bug	A crumb from some kind of pastry	I hardly know her	3	Shoes	The snack-bringer	Back of the fridge	Water	Truth	2 socks	I would simply go without socks	Gay or bi	Other	Slow	No	2-3 minutes
2/28/2023 11:48:37	momoko	2	Your own emotions	10-30 minutes	Yes	Red Bull	Dan	Salt	Yes	Ice cream	Waterboarding	Red	Yes	4	One bug	A crumb from some kind of pastry	I hardly know her	2	Shoes	Double agent	University residence cafeteria	Hydrogen	Dare	3-5 socks	I would wash a pair of socks, then wear them	Other	Other	Slow	No	2-3 minutes
2/28/2023 11:56:15	Seal	2	Your own emotions	10-30 minutes	Yes	Red Bull	Bisman	Salt	I've stolen, but not from a store	Iced coffee	Waterboarding	Blue	Yes	2	Twenty bugs	Grated cheese	I hardly know her	3	Shoes	The snack-bringer	University residence cafeteria	Hydrogen	Truth	More than 5 socks	I would wash a pair of socks, then wear them	Gay or bi	Other	Slow	No	3-10 minutes
2/28/2023 12:09:19	biz	3	Failure	30-90 minutes	No	Gatorade	Dan	Salt	No	Ice cream	Being forced to list nice things about yourself	Red	Yes	2	One bug	Grated cheese	I hardly know her	3	Shoes	The snack-bringer	University residence cafeteria	Water	Truth	3-5 socks	I would wash a pair of socks, then wear them	Gay or bi	Woman	Fast	No	More than 10 minutes
2/28/2023 12:18:35	Andric	1	Public speaking	10-30 minutes	No	Red Bull	Grey	Salt	No	Iced tea	Waterboarding	Pink	Yes	4	Twenty bugs	A bean	I barely know her	2	Hat	Double agent	Toilet	Hydrogen	Truth	More than 5 socks	I would wash a pair of socks, then wear them	Other	Other	Slow	No	3-10 minutes
2/28/2023 12:19:27	joma	5	Your own emotions	I don't get up in the morning	Yes	Gatorade	Zenghao	Salt	No	Ice cream	Being forced to list nice things about yourself	Orange	Yes	4	Twenty bugs	Grated cheese	I hardly know her	3	Shoes	Double agent	Back of the fridge	Fire	Dare	2 socks	I would simply go without socks	Other	Woman	Slow	No	3-10 minutes
2/28/2023 12:42:41	Bnano	5	Me (Rose)	I don't get up in the morning	Yes	Red Bull	Ishaan (nano)	Salt	Yes	Iced coffee	Waterboarding	Blue	Yes	3	One bug	A shrimp	I hardly know her	3	Shoes	The snack-bringer	Swamp	Hydrogen	Truth	2 socks	I would wear a pair of socks anyway	Gay or bi	Other	Fast	No	I forgot to set a timer/I left partway through
2/28/2023 12:51:17	Spy 	5	Spiders	30-90 minutes	Yes	Gatorade	Zenghao	Salt	No	Iced tea	Being forced to list nice things about yourself	Blue	Yes	3	One bug	Grated cheese	I hardly know her	3	Shoes	Double agent	Back of the fridge	Water	Dare	2 socks	I would simply go without socks	Other	Other	Slow	No	3-10 minutes
2/28/2023 13:01:37	o-word 	4	Being in a Ratatouille situation	30-90 minutes	No	Red Bull	Dan	Salt	Yes	Ice cream	Waterboarding	Green	Yes	4	Twenty bugs	A shrimp	I hardly know her	2	Shoes	Just a guy who beats people up	Back of the fridge	Air	Dare	More than 5 socks	I would wash a pair of socks, then wear them	Other	Other	Slow	No	3-10 minutes
2/28/2023 13:05:03	snake	1	Failure	10-30 minutes	Yes	Gatorade	Bisman	Pepper (I'm a snail and I'm scared of salt)	No	Ice cream	Being forced to list nice things about yourself	Red	Yes	3	Twenty bugs	A shrimp	I hardly know her	4	Shoes	The snack-bringer	Back of the fridge	Water	Truth	More than 5 socks	I would wear a pair of socks anyway	Gay or bi	Other	Slow	No	I forgot to set a timer/I left partway through
2/28/2023 13:07:55	Zenghao	5	Failure	10-30 minutes	Yes	Gatorade	Bisman	Salt	Yes	Iced coffee	Waterboarding	Blue	Yes	4	One bug	Grated cheese	I hardly know her	1	Shoes	The coward	Back of the fridge	Fire	Truth	2 socks	I would wash a pair of socks, then wear them	Other	Other	Slow	Yes	2-3 minutes
2/28/2023 13:58:46	Cabbage	2	Spiders	Less than 10 minutes	Yes	Gatorade	Dan	Salt	No	Iced coffee	Waterboarding	Red	Yes	3	One bug	A crumb from some kind of pastry	I barely know her	1	Shoes	The coward	University residence cafeteria	Water	Truth	More than 5 socks	I would simply go without socks	Other	Other	Slow	No	3-10 minutes
2/28/2023 14:58:43	Rikin	3	Your own emotions	30-90 minutes	Yes	Red Bull	Ishaan (nano)	Salt	Yes	Ice cream	Waterboarding	Green	Yes	2	Twenty bugs	A shrimp	I hardly know her	3	Shoes	Just a guy who beats people up	Garbage	Water	Dare	3-5 socks	I would wear a pair of socks anyway	Gay or bi	Other	Fast	No	3-10 minutes
2/28/2023 15:20:40	Rose	1	Your own emotions	30-90 minutes	Yes	Red Bull	Bisman	Salt	Yes	Ice cream	Being forced to list nice things about yourself	Red	Yes	5	Twenty bugs	A shrimp	I hardly know her	3	Shoes	Leader	Garbage	Fire	Truth	2 socks	I would simply go without socks	Gay or bi	Woman	Fast	Yes	< 2 minutes
2/28/2023 22:36:27	Adithya?	1	Your own emotions	10-30 minutes	No	Red Bull	Bisman	Pepper (I'm a snail and I'm scared of salt)	No	Iced tea	Waterboarding	Blue	Yes	3	Twenty bugs	A bean	I barely know her	3	Shoes	Leader	Back of the fridge	Water	Truth	3-5 socks	I would wash a pair of socks, then wear them	Other	Woman	Slow	No	3-10 minutes
3/1/2023 11:40:22	Tresa	2	Failure	More than 90 minutes	No	Red Bull	Bisman	Salt	Yes	Ice cream	Waterboarding	Red	Yes	4	Twenty bugs	Grated cheese	I hardly know her	1	Shoes	The snack-bringer	University residence cafeteria	Water	Truth	2 socks	I would simply go without socks	Gay or bi	Woman	Slow	Yes	2-3 minutes
3/1/2023 19:52:18	froe	3	Failure	10-30 minutes	No	Red Bull	Bisman	Pepper (I'm a snail and I'm scared of salt)	No	Ice cube	Waterboarding	Orange	Yes	3	Twenty bugs	A shrimp	I hardly know her	2	Shoes	Double agent	Back of the fridge	Water	Truth	2 socks	I would simply go without socks	Other	Other	Slow	No	3-10 minutes
3/1/2023 23:31:25	Tosty	2	Me (Rose)	I don't get up in the morning	Yes	Gatorade	Ishaan (nano)	Salt	No	Ice cream	Being forced to list nice things about yourself	Purple	Yes	3	Twenty bugs	A shrimp	I barely know her	4	Shoes	The snack-bringer	Back of the fridge	Fire	Dare	2 socks	I would wash a pair of socks, then wear them	Gay or bi	Woman	Slow	No	2-3 minutes
3/3/2023 10:02:51	Erik 	1	Me (Rose)	10-30 minutes	Yes	Gatorade	Bisman	Pepper (I'm a snail and I'm scared of salt)	Yes	Ice cream	Waterboarding	Green	No	3	Twenty bugs	A bean	I hardly know her	3	Shoes	The snack-bringer	Garbage	Water	Truth	3-5 socks	I would simply go without socks	Other	Other	Slow	No	I forgot to set a timer/I left partway through
